Player_Name,Team_Name,From_year,Last_year,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Imran Nazir,PAK,2007,2012,13,13,1,300,72,25,200,150,0,2,0,37,13
Younis Khan,PAK,2007,2009,14,13,3,299,51,29.9,241,124.06,0,2,0,21,8
Mohammad Nabi,AFG,2010,2022,22,22,4,291,52,16.16,247,117.81,0,1,2,25,7
RD Berrington,SCOT,2016,2022,14,13,2,287,70,26.09,243,118.1,0,2,3,16,11
Asghar Afghan,AFG,2010,2021,16,14,1,287,62,22.07,277,103.61,0,2,1,13,13
SA Yadav,IND,2021,2022,10,9,4,281,68,56.2,155,181.29,0,3,0,31,11
PBB Rajapaksa,SL,2021,2022,16,13,2,280,53,25.45,213,131.45,0,1,1,27,10
Sikandar Raza,ZIM,2014,2022,14,14,0,278,82,19.85,212,131.13,0,1,2,22,11
SC Williams,ZIM,2014,2022,14,14,0,275,64,19.64,226,121.68,0,2,1,26,3
DP Conway,NZ,2021,2022,11,11,3,274,92*,34.25,243,112.75,0,1,0,25,3
F du Plessis,SA,2012,2016,9,9,0,271,65,30.11,199,136.18,0,2,0,27,7
ML Hayden,AUS,2007,2007,6,6,3,265,73*,88.33,183,144.8,0,4,0,32,10
HH Gibbs,SA,2007,2010,12,12,1,265,90*,24.09,211,125.59,0,2,0,32,6
AK Markram,SA,2021,2022,10,9,2,261,52*,37.28,190,137.36,0,3,1,22,10
C Kieswetter,ENG,2010,2012,11,11,0,261,63,23.72,237,110.12,0,1,2,24,13
Litton Das,BAN,2021,2022,13,13,0,260,60,20,230,113.04,0,1,1,21,6
CL White,AUS,2010,2014,15,13,6,258,85*,36.85,189,136.5,0,1,1,18,14
DA Miller,SA,2014,2022,18,14,6,254,59*,31.75,191,132.98,0,1,0,16,10
MM Ali,ENG,2014,2022,22,17,6,254,51*,23.09,204,124.5,0,1,2,24,8
KA Pollard,WI,2009,2021,23,20,2,254,44,14.11,216,117.59,0,0,2,21,10
WTS Porterfield,IRE,2009,2016,15,14,2,253,47,21.08,241,104.97,0,0,2,25,5
Ahmed Shehzad,PAK,2009,2016,9,9,1,250,111*,31.25,197,126.9,1,1,1,27,5
JE Root,ENG,2016,2016,6,6,1,249,83,49.8,170,146.47,0,2,0,24,7
MDKJ Perera,SL,2014,2021,14,14,1,248,61,19.07,184,134.78,0,1,1,27,9
Gulbadin Naib,AFG,2012,2022,17,15,3,247,44,20.58,229,107.86,0,0,1,24,8
BRM Taylor,ZIM,2007,2014,8,8,2,245,60*,40.83,192,127.6,0,2,1,18,8
RS Bopara,ENG,2009,2014,11,11,2,239,55,26.55,208,114.9,0,1,0,20,3
KJ O'Brien,IRE,2009,2021,18,16,2,238,42*,17,195,122.05,0,0,3,21,8
DJ Hussey,AUS,2009,2012,10,10,1,234,59,26,177,132.2,0,2,2,9,15
SB Styris,NZ,2007,2010,16,14,2,233,42,19.41,196,118.87,0,0,0,10,12
NLTC Perera,SL,2010,2016,20,17,7,232,40,23.2,163,142.33,0,0,0,17,13
BKG Mendis,SL,2022,2022,8,8,1,223,79,31.85,156,142.94,0,2,0,17,10
A Balbirnie,IRE,2021,2022,10,10,0,223,62,22.3,196,113.77,0,1,0,16,11
CN Ackermann,NED,2021,2022,11,11,1,222,62,22.2,206,107.76,0,1,2,16,6
KJ Coetzer,SCOT,2009,2021,12,12,1,222,42,20.18,179,124.02,0,0,1,20,9
ADS Fletcher,WI,2009,2016,11,11,3,219,84*,27.37,191,114.65,0,2,3,20,8
DJG Sammy,WI,2009,2016,25,18,6,215,42*,17.91,131,164.12,0,0,2,21,9
HH Pandya,IND,2016,2022,16,10,1,213,63,23.66,156,136.53,0,1,0,16,10
H Masakadza,ZIM,2007,2016,12,12,0,213,43,17.75,213,100,0,0,0,21,3
Mohammad Ashraful,BAN,2007,2012,11,11,0,212,65,19.27,153,138.56,0,2,1,21,8
PD Collingwood,ENG,2007,2010,17,17,1,210,37,13.12,179,117.31,0,0,2,13,7
OA Shah,ENG,2007,2009,10,10,0,209,38,20.9,179,116.75,0,0,0,12,10
MD Shanaka,SL,2016,2022,18,15,5,209,35,20.9,183,114.2,0,0,1,18,8
MP Stoinis,AUS,2021,2022,11,8,4,206,59*,51.5,136,151.47,0,1,1,14,12
LJ Tucker,IRE,2022,2022,7,7,2,204,71*,40.8,163,125.15,0,1,0,19,4
MG Erasmus,NAM,2021,2022,11,11,1,203,53*,20.3,204,99.5,0,1,0,14,3
MJ Lumb,ENG,2010,2014,11,11,0,194,33,17.63,148,131.08,0,0,1,23,6
MH Cross,SCOT,2016,2022,14,14,2,191,45,15.91,218,87.61,0,0,2,15,4
SPD Smith,AUS,2010,2022,19,14,4,190,61*,19,170,111.76,0,1,1,16,3
JDP Oram,NZ,2007,2012,18,15,1,189,35,13.5,143,132.16,0,0,1,14,8
V Sehwag,IND,2007,2012,9,8,0,187,68,23.37,144,129.86,0,1,0,19,6
PW Borren,NED,2009,2016,12,11,0,187,49,17,158,118.35,0,0,1,22,5
S Chanderpaul,WI,2007,2010,13,13,4,186,37,20.66,169,110.05,0,0,0,18,4
Anamul Haque,BAN,2014,2014,7,7,1,184,44*,30.66,155,118.7,0,0,1,22,8
Shafiqullah,AFG,2012,2016,11,11,3,181,51*,22.62,129,140.31,0,1,1,17,8
Najmul Hossain Shanto,BAN,2022,2022,5,5,0,180,71,36,157,114.64,0,2,0,20,2
V Sibanda,ZIM,2007,2016,10,10,1,180,59,20,178,101.12,0,1,1,17,4
BJ Haddin,AUS,2007,2014,15,14,2,178,42,14.83,175,101.71,0,0,0,14,5
HE van der Dussen,SA,2021,2021,5,5,2,177,94*,59,152,116.44,0,1,0,10,6
DM de Silva,SL,2022,2022,8,8,1,177,66*,25.28,137,129.19,0,1,2,15,4
Shan Masood,PAK,2022,2022,7,7,3,175,52*,43.75,148,118.24,0,1,0,12,1
Mohammad Naim,BAN,2021,2021,7,7,0,174,64,24.85,157,110.82,0,2,1,15,4
Noor Ali Zadran,AFG,2010,2016,8,8,0,174,50,21.75,180,96.66,0,1,1,13,2
JM Kemp,SA,2007,2007,5,5,3,173,89*,86.5,124,139.51,0,1,0,13,10
DJ Malan,ENG,2021,2022,10,8,2,172,41,28.66,165,104.24,0,0,0,14,2
MA Leask,SCOT,2016,2022,12,11,2,172,44,19.11,125,137.6,0,0,2,16,7
Sabbir Rahman,BAN,2014,2016,11,10,2,171,44,21.37,146,117.12,0,0,0,18,5
AC Gilchrist,AUS,2007,2007,6,6,1,169,45,33.8,112,150.89,0,0,0,17,7
E Chigumbura,ZIM,2007,2016,12,11,4,169,53*,24.14,108,156.48,0,1,2,8,12
BA Stokes,ENG,2016,2022,12,10,3,166,52*,23.71,137,121.16,0,1,0,12,4
Mashrafe Mortaza,BAN,2007,2016,23,16,4,164,33*,13.66,122,134.42,0,0,1,14,9
CD McMillan,NZ,2007,2007,6,5,1,163,57,40.75,90,181.11,0,1,0,7,13
Aftab Ahmed,BAN,2007,2010,6,6,1,163,62*,32.6,128,127.34,0,1,0,18,3
RR Sarwan,WI,2007,2010,13,11,3,163,28*,20.37,166,98.19,0,0,1,10,1
Jatinder Singh,OMA,2016,2021,5,5,1,162,73*,40.5,122,132.78,0,1,1,16,5
T Bavuma,SA,2021,2022,10,9,2,161,46,23,146,110.27,0,0,0,12,4
C Campher,IRE,2021,2022,10,9,2,161,72*,23,117,137.6,0,1,1,15,2
NJ O'Brien,IRE,2009,2016,11,10,2,161,40,20.12,150,107.33,0,0,0,14,4
J Mubarak,SL,2007,2009,12,11,4,161,46*,23,110,146.36,0,0,2,12,8
W Barresi,NED,2014,2016,10,9,1,160,48,20,131,122.13,0,0,0,11,8
CR Ervine,ZIM,2010,2022,11,10,0,160,58,16,183,87.43,0,1,0,17,1
Samiullah Shinwari,AFG,2010,2016,14,11,0,159,43,14.45,140,113.57,0,0,0,13,4
AD Russell,WI,2012,2021,22,18,7,158,43*,14.36,113,139.82,0,0,4,12,10
DR Smith,WI,2007,2014,8,8,0,157,72,19.62,134,117.16,0,1,0,20,8
Rahmanullah Gurbaz,AFG,2021,2022,8,8,0,153,46,19.12,121,126.44,0,0,0,7,12
